sequence_index,task_id,task_name,process_id,process_name,operated_objects,operated_object_names,task_obb_center,required_resources,generation_rule,inference_explanation
61,Task_制连接孔_Part_1_2_5536C10101G71_5536C10101G71_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,制连接孔_Part_1_2_5536C10101G71_5536C10101G71_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_制连接孔,制连接孔,Part_1_2_5536C10101G71_5536C10101G71_1;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C10101G71 1号肋;5536C12000G42 辅助梁组件,36.511823622;3.299726413;0.022108493,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
62,Task_制连接孔_Part_1_4_5536C10105G71_5536C10105G71_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,制连接孔_Part_1_4_5536C10105G71_5536C10105G71_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_制连接孔,制连接孔,Part_1_4_5536C10105G71_5536C10105G71_1;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C10105G71 1号肋;5536C12000G42 辅助梁组件,36.527105467;3.301860876;-0.102756501,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
63,Task_制连接孔_Part_1_6_5536C10211G71_5536C10211G71_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,制连接孔_Part_1_6_5536C10211G71_5536C10211G71_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_制连接孔,制连接孔,Part_1_6_5536C10211G71_5536C10211G71_1;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C10211G71 2号肋;5536C12000G42 辅助梁组件,36.740220882;3.524735726;-0.002652678,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
64,Task_制连接孔_Part_1_8_5536C10214G70_5536C10214G70_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,制连接孔_Part_1_8_5536C10214G70_5536C10214G70_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_制连接孔,制连接孔,Part_1_8_5536C10214G70_5536C10214G70_1;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C10214G70 2号肋缘条;5536C12000G42 辅助梁组件,36.742290468;3.530835809;-0.101709147,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
65,Task_制连接孔_Part_1_7_5536C10213G70_5536C10213G70_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,制连接孔_Part_1_7_5536C10213G70_5536C10213G70_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_制连接孔,制连接孔,Part_1_7_5536C10213G70_5536C10213G70_1;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C10213G70 2号肋缘条;5536C12000G42 辅助梁组件,36.742290468;3.530835809;0.101735964,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
66,Task_制连接孔_Part_1_10_5536C10311G72_5536C10311G72_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,制连接孔_Part_1_10_5536C10311G72_5536C10311G72_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_制连接孔,制连接孔,Part_1_10_5536C10311G72_5536C10311G72_1;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C10311G72 3号肋;5536C12000G42 辅助梁组件,37.184251727;4.100937668;-0.000510582,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
67,Task_制连接孔_Part_1_11_5536C10313G70_5536C10313G70_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,制连接孔_Part_1_11_5536C10313G70_5536C10313G70_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_制连接孔,制连接孔,Part_1_11_5536C10313G70_5536C10313G70_1;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C10313G70 角片;5536C12000G42 辅助梁组件,37.063675819;4.188581611;0.047932073,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
68,Task_制连接孔_Part_1_12_5536C10314G70_5536C10314G70_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,制连接孔_Part_1_12_5536C10314G70_5536C10314G70_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_制连接孔,制连接孔,Part_1_12_5536C10314G70_5536C10314G70_1;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C10314G70 角片;5536C12000G42 辅助梁组件,37.063675819;4.188581611;-0.047905257,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
69,Task_制连接孔_Part_1_14_5536C10411G72_5536C10411G72_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,制连接孔_Part_1_14_5536C10411G72_5536C10411G72_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_制连接孔,制连接孔,Part_1_14_5536C10411G72_5536C10411G72_1;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C10411G72 4号肋;5536C12000G42 辅助梁组件,37.599843037;4.661151543;-0.000237351,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
70,Task_制连接孔_Part_1_16_5536C10414G72_5536C10414G72_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,制连接孔_Part_1_16_5536C10414G72_5536C10414G72_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_制连接孔,制连接孔,Part_1_16_5536C10414G72_5536C10414G72_1;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C10414G72 4号肋缘条;5536C12000G42 辅助梁组件,37.60127801;4.668564586;-0.069845753,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
71,Task_制连接孔_Part_1_15_5536C10413G72_5536C10413G72_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,制连接孔_Part_1_15_5536C10413G72_5536C10413G72_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_制连接孔,制连接孔,Part_1_15_5536C10413G72_5536C10413G72_1;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C10413G72 4号肋缘条;5536C12000G42 辅助梁组件,37.60127801;4.668564586;0.069872569,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
72,Task_制连接孔_Part_1_18_5536C10511G72_5536C10511G72_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,制连接孔_Part_1_18_5536C10511G72_5536C10511G72_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_制连接孔,制连接孔,Part_1_18_5536C10511G72_5536C10511G72_1;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C10511G72 5号肋;5536C12000G42 辅助梁组件,37.915763775;5.075780421;1.0857e-05,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
73,Task_制连接孔_Part_1_19_5536C10513G70_5536C10513G70_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,制连接孔_Part_1_19_5536C10513G70_5536C10513G70_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_制连接孔,制连接孔,Part_1_19_5536C10513G70_5536C10513G70_1;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C10513G70 角片;5536C12000G42 辅助梁组件,37.828404895;5.141475515;0.028003995,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
74,Task_制连接孔_Part_1_20_5536C10514G70_5536C10514G70_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,制连接孔_Part_1_20_5536C10514G70_5536C10514G70_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_制连接孔,制连接孔,Part_1_20_5536C10514G70_5536C10514G70_1;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C10514G70 角片;5536C12000G42 辅助梁组件,37.828404895;5.141475515;-0.027977178,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
75,Task_制连接孔_Part_1_22_5536C10611G72_5536C10611G72_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,制连接孔_Part_1_22_5536C10611G72_5536C10611G72_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_制连接孔,制连接孔,Part_1_22_5536C10611G72_5536C10611G72_1;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C10611G72 6号肋;5536C12000G42 辅助梁组件,38.340987311;5.639831534;1.1969e-05,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
76,Task_制连接孔_Part_1_23_5536C10613G70_5536C10613G70_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,制连接孔_Part_1_23_5536C10613G70_5536C10613G70_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_制连接孔,制连接孔,Part_1_23_5536C10613G70_5536C10613G70_1;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C10613G70 角片;5536C12000G42 辅助梁组件,38.271461193;5.69363488;0.015568674,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
77,Task_制连接孔_Part_1_24_5536C10614G70_5536C10614G70_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,制连接孔_Part_1_24_5536C10614G70_5536C10614G70_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_制连接孔,制连接孔,Part_1_24_5536C10614G70_5536C10614G70_1;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C10614G70 角片;5536C12000G42 辅助梁组件,38.271461193;5.69363488;-0.015541857,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
78,Task_制连接孔_SubAssembly_1_32_5536C11008G41_5536C11008G41_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,制连接孔_SubAssembly_1_32_5536C11008G41_5536C11008G41_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_制连接孔,制连接孔,SubAssembly_1_32_5536C11008G41_5536C11008G41;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C11008G41 右侧3号夹芯板;5536C12000G42 辅助梁组件,38.067092379;5.298881494;-0.056384918,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
79,Task_制连接孔_SubAssembly_1_31_5536C11007G41_5536C11007G41_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,制连接孔_SubAssembly_1_31_5536C11007G41_5536C11007G41_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_制连接孔,制连接孔,SubAssembly_1_31_5536C11007G41_5536C11007G41;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C11007G41 左侧3号夹芯板;5536C12000G42 辅助梁组件,38.067092379;5.298881494;0.056411735,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
80,Task_制连接孔_SubAssembly_1_30_5536C11006G41_5536C11006G41_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,制连接孔_SubAssembly_1_30_5536C11006G41_5536C11006G41_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_制连接孔,制连接孔,SubAssembly_1_30_5536C11006G41_5536C11006G41;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C11006G41 右侧2号夹芯板;5536C12000G42 辅助梁组件,37.141103452;4.073641568;-0.090987303,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
81,Task_制连接孔_SubAssembly_1_29_5536C11005G41_5536C11005G41_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,制连接孔_SubAssembly_1_29_5536C11005G41_5536C11005G41_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_制连接孔,制连接孔,SubAssembly_1_29_5536C11005G41_5536C11005G41;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C11005G41 左侧2号夹芯板;5536C12000G42 辅助梁组件,37.141103452;4.073641568;0.09101412,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
82,Task_制连接孔_SubAssembly_1_28_5536C11004G41_5536C11004G41_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,制连接孔_SubAssembly_1_28_5536C11004G41_5536C11004G41_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_制连接孔,制连接孔,SubAssembly_1_28_5536C11004G41_5536C11004G41;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C11004G41 右侧1号夹芯板;5536C12000G42 辅助梁组件,36.610506052;3.424096583;-0.104790298,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
83,Task_制连接孔_SubAssembly_1_27_5536C11003G41_5536C11003G41_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,制连接孔_SubAssembly_1_27_5536C11003G41_5536C11003G41_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_制连接孔,制连接孔,SubAssembly_1_27_5536C11003G41_5536C11003G41;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C11003G41 左侧1号夹芯板;5536C12000G42 辅助梁组件,36.610506052;3.424096583;0.104817114,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
84,Task_制连接孔_Part_1_2_5536C10101G71_5536C10101G71_1_Part_1_4_5536C10105G71_5536C10105G71_1,制连接孔_Part_1_2_5536C10101G71_5536C10101G71_1_Part_1_4_5536C10105G71_5536C10105G71_1,PROC_制连接孔,制连接孔,Part_1_2_5536C10101G71_5536C10101G71_1;Part_1_4_5536C10105G71_5536C10105G71_1,5536C10101G71 1号肋;5536C10105G71 1号肋,35.713096516;2.089104441;-0.080674825,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
85,Task_制连接孔_Part_1_2_5536C10101G71_5536C10101G71_1_Part_1_3_5536C10103G71_5536C10103G71_1,制连接孔_Part_1_2_5536C10101G71_5536C10101G71_1_Part_1_3_5536C10103G71_5536C10103G71_1,PROC_制连接孔,制连接孔,Part_1_2_5536C10101G71_5536C10101G71_1;Part_1_3_5536C10103G71_5536C10103G71_1,5536C10101G71 1号肋;5536C10103G71 1号肋角材,35.954420881;2.099370424;0.028345085,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
86,Task_制连接孔_Part_1_2_5536C10101G71_5536C10101G71_1_SubAssembly_1_27_5536C11003G41_5536C11003G41,制连接孔_Part_1_2_5536C10101G71_5536C10101G71_1_SubAssembly_1_27_5536C11003G41_5536C11003G41,PROC_制连接孔,制连接孔,Part_1_2_5536C10101G71_5536C10101G71_1;SubAssembly_1_27_5536C11003G41_5536C11003G41,5536C10101G71 1号肋;5536C11003G41 左侧1号夹芯板,35.796497102;2.211340148;0.126898791,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
87,Task_制连接孔_Part_1_2_5536C10101G71_5536C10101G71_1_SubAssembly_1_26_5536C11002G41_5536C11002G41_1,制连接孔_Part_1_2_5536C10101G71_5536C10101G71_1_SubAssembly_1_26_5536C11002G41_5536C11002G41_1,PROC_制连接孔,制连接孔,Part_1_2_5536C10101G71_5536C10101G71_1;SubAssembly_1_26_5536C11002G41_5536C11002G41_1,5536C10101G71 1号肋;5536C11002G41 右侧下封面板,35.645042248;2.03901128;-0.081313344,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
88,Task_制连接孔_Part_1_2_5536C10101G71_5536C10101G71_1_SubAssembly_1_25_5536C11001G41_5536C11001G41_1,制连接孔_Part_1_2_5536C10101G71_5536C10101G71_1_SubAssembly_1_25_5536C11001G41_5536C11001G41_1,PROC_制连接孔,制连接孔,Part_1_2_5536C10101G71_5536C10101G71_1;SubAssembly_1_25_5536C11001G41_5536C11001G41_1,5536C10101G71 1号肋;5536C11001G41 左侧下封面板,35.645036699;2.039012372;0.125503381,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
89,Task_制连接孔_Part_1_4_5536C10105G71_5536C10105G71_1_SubAssembly_1_28_5536C11004G41_5536C11004G41,制连接孔_Part_1_4_5536C10105G71_5536C10105G71_1_SubAssembly_1_28_5536C11004G41_5536C11004G41,PROC_制连接孔,制连接孔,Part_1_4_5536C10105G71_5536C10105G71_1;SubAssembly_1_28_5536C11004G41_5536C11004G41,5536C10105G71 1号肋;5536C11004G41 右侧1号夹芯板,35.811778947;2.213474612;-0.207573616,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
90,Task_制连接孔_Part_1_4_5536C10105G71_5536C10105G71_1_SubAssembly_1_26_5536C11002G41_5536C11002G41_1,制连接孔_Part_1_4_5536C10105G71_5536C10105G71_1_SubAssembly_1_26_5536C11002G41_5536C11002G41_1,PROC_制连接孔,制连接孔,Part_1_4_5536C10105G71_5536C10105G71_1;SubAssembly_1_26_5536C11002G41_5536C11002G41_1,5536C10105G71 1号肋;5536C11002G41 右侧下封面板,35.660324093;2.041145743;-0.206178338,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
91,Task_制连接孔_Part_1_5_5536C10203G71_5536C10203G71_1_Part_1_6_5536C10211G71_5536C10211G71_1,制连接孔_Part_1_5_5536C10203G71_5536C10203G71_1_Part_1_6_5536C10211G71_5536C10211G71_1,PROC_制连接孔,制连接孔,Part_1_5_5536C10203G71_5536C10203G71_1;Part_1_6_5536C10211G71_5536C10211G71_1,5536C10203G71 2号肋角材;5536C10211G71 2号肋,36.271738528;2.451251207;-0.002666087,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
92,Task_制连接孔_Part_1_6_5536C10211G71_5536C10211G71_1_Part_1_8_5536C10214G70_5536C10214G70_1,制连接孔_Part_1_6_5536C10211G71_5536C10211G71_1_Part_1_8_5536C10214G70_5536C10214G70_1,PROC_制连接孔,制连接孔,Part_1_6_5536C10211G71_5536C10211G71_1;Part_1_8_5536C10214G70_5536C10214G70_1,5536C10211G71 2号肋;5536C10214G70 2号肋缘条,36.156678779;2.543088688;-0.104388642,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
93,Task_制连接孔_Part_1_6_5536C10211G71_5536C10211G71_1_Part_1_7_5536C10213G70_5536C10213G70_1,制连接孔_Part_1_6_5536C10211G71_5536C10211G71_1_Part_1_7_5536C10213G70_5536C10213G70_1,PROC_制连接孔,制连接孔,Part_1_6_5536C10211G71_5536C10211G71_1;Part_1_7_5536C10213G70_5536C10213G70_1,5536C10211G71 2号肋;5536C10213G70 2号肋缘条,36.156678779;2.543088688;0.099056469,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
94,Task_制连接孔_Part_1_6_5536C10211G71_5536C10211G71_1_SubAssembly_1_28_5536C11004G41_5536C11004G41,制连接孔_Part_1_6_5536C10211G71_5536C10211G71_1_SubAssembly_1_28_5536C11004G41_5536C11004G41,PROC_制连接孔,制连接孔,Part_1_6_5536C10211G71_5536C10211G71_1;SubAssembly_1_28_5536C11004G41_5536C11004G41,5536C10211G71 2号肋;5536C11004G41 右侧1号夹芯板,36.024894363;2.436349462;-0.107469793,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
95,Task_制连接孔_Part_1_6_5536C10211G71_5536C10211G71_1_SubAssembly_1_27_5536C11003G41_5536C11003G41,制连接孔_Part_1_6_5536C10211G71_5536C10211G71_1_SubAssembly_1_27_5536C11003G41_5536C11003G41,PROC_制连接孔,制连接孔,Part_1_6_5536C10211G71_5536C10211G71_1;SubAssembly_1_27_5536C11003G41_5536C11003G41,5536C10211G71 2号肋;5536C11003G41 左侧1号夹芯板,36.024894363;2.436349462;0.102137619,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
96,Task_制连接孔_Part_1_34_5536C14001G71_5536C14001G70_1_SubAssembly_1_27_5536C11003G41_5536C11003G41,制连接孔_Part_1_34_5536C14001G71_5536C14001G70_1_SubAssembly_1_27_5536C11003G41_5536C11003G41,PROC_制连接孔,制连接孔,Part_1_34_5536C14001G71_5536C14001G70_1;SubAssembly_1_27_5536C11003G41_5536C11003G41,5536C14001G71 1号连接带板;5536C11003G41 左侧1号夹芯板,36.054323824;2.297084079;0.229590986,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
97,Task_制连接孔_Part_1_35_5536C14002G71_5536C14002G70_1_SubAssembly_1_28_5536C11004G41_5536C11004G41,制连接孔_Part_1_35_5536C14002G71_5536C14002G70_1_SubAssembly_1_28_5536C11004G41_5536C11004G41,PROC_制连接孔,制连接孔,Part_1_35_5536C14002G71_5536C14002G70_1;SubAssembly_1_28_5536C11004G41_5536C11004G41,5536C14002G71 1号连接带板;5536C11004G41 右侧1号夹芯板,36.054323824;2.297084079;-0.229590986,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
98,Task_制连接孔_Part_1_8_5536C10214G70_5536C10214G70_1_SubAssembly_1_30_5536C11006G41_5536C11006G41,制连接孔_Part_1_8_5536C10214G70_5536C10214G70_1_SubAssembly_1_30_5536C11006G41_5536C11006G41,PROC_制连接孔,制连接孔,Part_1_8_5536C10214G70_5536C10214G70_1;SubAssembly_1_30_5536C11006G41_5536C11006G41,5536C10214G70 2号肋缘条;5536C11006G41 右侧2号夹芯板,36.557561349;3.09199453;-0.192723267,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
99,Task_制连接孔_Part_1_7_5536C10213G70_5536C10213G70_1_SubAssembly_1_29_5536C11005G41_5536C11005G41,制连接孔_Part_1_7_5536C10213G70_5536C10213G70_1_SubAssembly_1_29_5536C11005G41_5536C11005G41,PROC_制连接孔,制连接孔,Part_1_7_5536C10213G70_5536C10213G70_1;SubAssembly_1_29_5536C11005G41_5536C11005G41,5536C10213G70 2号肋缘条;5536C11005G41 左侧2号夹芯板,36.557561349;3.09199453;0.192723267,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
100,Task_制连接孔_Part_1_37_5536C14004G71_5536C14004G70_1_SubAssembly_1_30_5536C11006G41_5536C11006G41,制连接孔_Part_1_37_5536C14004G71_5536C14004G70_1_SubAssembly_1_30_5536C11006G41_5536C11006G41,PROC_制连接孔,制连接孔,Part_1_37_5536C14004G71_5536C14004G70_1;SubAssembly_1_30_5536C11006G41_5536C11006G41,5536C14004G71 2号连接带板;5536C11006G41 右侧2号夹芯板,36.868259931;3.303324869;-0.204421779,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
101,Task_制连接孔_Part_1_36_5536C14003G71_5536C14003G70_1_SubAssembly_1_29_5536C11005G41_5536C11005G41,制连接孔_Part_1_36_5536C14003G71_5536C14003G70_1_SubAssembly_1_29_5536C11005G41_5536C11005G41,PROC_制连接孔,制连接孔,Part_1_36_5536C14003G71_5536C14003G70_1;SubAssembly_1_29_5536C11005G41_5536C11005G41,5536C14003G71 2号连接带板;5536C11005G41 左侧2号夹芯板,36.868259931;3.303324869;0.204421779,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
102,Task_制连接孔_Part_1_10_5536C10311G72_5536C10311G72_1_Part_1_9_5536C10303G71_5536C10303G71_1,制连接孔_Part_1_10_5536C10311G72_5536C10311G72_1_Part_1_9_5536C10303G71_5536C10303G71_1,PROC_制连接孔,制连接孔,Part_1_10_5536C10311G72_5536C10311G72_1;Part_1_9_5536C10303G71_5536C10303G71_1,5536C10311G72 3号肋;5536C10303G71 3号肋角材,37.136515215;3.621089155;-0.00052399,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
103,Task_制连接孔_Part_1_10_5536C10311G72_5536C10311G72_1_Part_1_11_5536C10313G70_5536C10313G70_1,制连接孔_Part_1_10_5536C10311G72_5536C10311G72_1_Part_1_11_5536C10313G70_5536C10313G70_1,PROC_制连接孔,制连接孔,Part_1_10_5536C10311G72_5536C10311G72_1;Part_1_11_5536C10313G70_5536C10313G70_1,5536C10311G72 3号肋;5536C10313G70 角片,36.922094975;3.777036431;0.047394675,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
104,Task_制连接孔_Part_1_10_5536C10311G72_5536C10311G72_1_Part_1_12_5536C10314G70_5536C10314G70_1,制连接孔_Part_1_10_5536C10311G72_5536C10311G72_1_Part_1_12_5536C10314G70_5536C10314G70_1,PROC_制连接孔,制连接孔,Part_1_10_5536C10311G72_5536C10311G72_1;Part_1_12_5536C10314G70_5536C10314G70_1,5536C10311G72 3号肋;5536C10314G70 角片,36.922094975;3.777036431;-0.048442655,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
105,Task_制连接孔_Part_1_10_5536C10311G72_5536C10311G72_1_SubAssembly_1_30_5536C11006G41_5536C11006G41,制连接孔_Part_1_10_5536C10311G72_5536C10311G72_1_SubAssembly_1_30_5536C11006G41_5536C11006G41,PROC_制连接孔,制连接孔,Part_1_10_5536C10311G72_5536C10311G72_1;SubAssembly_1_30_5536C11006G41_5536C11006G41,5536C10311G72 3号肋;5536C11006G41 右侧2号夹芯板,36.999522608;3.662096389;-0.091524702,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
106,Task_制连接孔_Part_1_10_5536C10311G72_5536C10311G72_1_SubAssembly_1_29_5536C11005G41_5536C11005G41,制连接孔_Part_1_10_5536C10311G72_5536C10311G72_1_SubAssembly_1_29_5536C11005G41_5536C11005G41,PROC_制连接孔,制连接孔,Part_1_10_5536C10311G72_5536C10311G72_1;SubAssembly_1_29_5536C11005G41_5536C11005G41,5536C10311G72 3号肋;5536C11005G41 左侧2号夹芯板,36.999522608;3.662096389;0.090476722,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
